"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
rbv_oth_suppex_exadj,ribavirin_administration,,text,"Reason for dose modification / premature discontinuation of Ribavirin other",,,,,,,"[rbv_suppex_exadj] = 'OTHER' OR [rbv_esc_suppex_exadj] = 'OTHER'",y,,,,,
rbv_suppex_exncmpae,ribavirin_administration,,radio,"Adverse Event (RBV stop)","FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[rbv_suppex_exadj] = 'ADVERSE_EVENT' OR [rbv_esc_suppex_exadj] = 'ADVERSE_EVENT' OR [rbv_suppex_exadj] = 'DEATH' OR [rbv_esc_suppex_exadj] = 'DEATH'",y,,,,,
rbv_oth_suppex_exncmpae,ribavirin_administration,,text,"Adverse Event (RBV stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[rbv_suppex_exncmpae] = 'OTHER'",y,,,,,
rbv_suppae_ribacn,ribavirin_administration,,radio,"What action was taken with Ribavirin as a result of this Adverse Event?","DOSE_INCREASED, Dose increased | DOSE_REDUCED, Dose reduced | DRUG_INTERRUPTED, Drug interrupted | DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[rbv_suppex_exadj] = 'ADVERSE_EVENT' OR [rbv_esc_suppex_exadj] = 'ADVERSE_EVENT'",y,,,,,
rbv_exendtc,ribavirin_administration,,text,"Ribavirin stop date",,"YYYY-MM-DD ",date_ymd,,,,"[rbv_exoccur] != 'N' AND ([rbv_suppex_extrtout] = 'COMPLETE' OR [rbv_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [rbv_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
rbv_exoccur,ribavirin_administration,,radio,"Was Ribavirin started? ","N, NO | Y, YES",,,,,,"[rbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] != ''",y,,,,,
rbv_suppex_exreasnost,ribavirin_administration,,radio,"Please indicate why Ribavirin treatment has not started","NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen | NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[rbv_exoccur] = 'N'",y,,,,,
rbv_aemodify,ex_coding,"Ribavirin stop",text,"Modified reported term for RBV stop AE: [rbv_suppcm_cmncmpae]/[rbv_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
rbv_aedecod,ex_coding,,text,"Dictionary derived term for RBV stop AE: [rbv_suppcm_cmncmpae]/[rbv_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
rbv_aebodsys,ex_coding,,text,"Body system or organ class for RBV stop AE: [rbv_suppcm_cmncmpae]/[rbv_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
rbv_suppae_aesevdrv,ex_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
hvn_aemodify,ex_coding,"Harvoni stop",text,"Modified reported term for HVN stop AE: [hvn_suppcm_cmncmpae]/[hvn_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
hvn_aedecod,ex_coding,,text,"Dictionary derived term for HVN stop AE: [hvn_suppcm_cmncmpae]/[hvn_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
hvn_aebodsys,ex_coding,,text,"Body system or organ class for HVN stop AE: [hvn_suppcm_cmncmpae]/[hvn_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
hvn_suppae_aesevdrv,ex_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
vpk_aemodify,ex_coding,"Viekira combo pill stop",text,"Modified reported term for VPK1 stop AE: [vpk_suppcm_cmncmpae]/[vpk_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
vpk_aedecod,ex_coding,,text,"Dictionary derived term for VPK1 stop AE: [vpk_suppcm_cmncmpae]/[vpk_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
vpk_aebodsys,ex_coding,,text,"Body system or organ class for VPK1 stop AE: [vpk_suppcm_cmncmpae]/[vpk_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
vpk_suppae_aesevdrv,ex_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
dbv_aemodify,ex_coding,"Dasabuvir stop",text,"Modified reported term for DBV stop AE: [dbv_suppcm_cmncmpae]/[dbv_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
dbv_aedecod,ex_coding,,text,"Dictionary derived term for DBV stop AE: [dbv_suppcm_cmncmpae]/[dbv_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
dbv_aebodsys,ex_coding,,text,"Body system or organ class for DBV stop AE: [dbv_suppcm_cmncmpae]/[dbv_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
dbv_suppae_aesevdrv,ex_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
zep_aemodify,ex_coding,"Zepatier stop",text,"Modified reported term for ZEP stop AE: [zep_suppcm_cmncmpae]/[zep_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
zep_aedecod,ex_coding,,text,"Dictionary derived term for ZEP stop AE: [zep_suppcm_cmncmpae]/[zep_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
zep_aebodsys,ex_coding,,text,"Body system or organ class for ZEP stop AE: [zep_suppcm_cmncmpae]/[zep_oth_suppcm_cmncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
zep_suppae_aesevdrv,ex_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
eot_aemodify,ex_coding,EOT,text,"Modified reported term for EOT: [eot_suppds_ncmpae]/[eot_oth_suppds_ncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
eot_aedecod,ex_coding,,text,"Dictionary derived term for EOT stop AE: [eot_suppds_ncmpae]/[eot_oth_suppds_ncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
eot_aebodsys,ex_coding,,text,"Body system or organ class for EOT stop AE: [eot_suppds_ncmpae]/[eot_oth_suppds_ncmpae]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
eot_suppae_aesevdrv,ex_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
ae_aeoccur,adverse_events,,radio,"Did the subject experience an Adverse Event?","N, NO | Y, YES",,,,,,,y,,,,,
ae_aestdtc,adverse_events,,text,"Start date of Adverse Event",,"YYYY-MM-DD ",date_ymd,,,,"[ae_aeoccur] = 'Y' ",y,,,,,
ae_aeterm,adverse_events,,radio,"Adverse Event","FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[ae_aeoccur] = 'Y'",y,,,,,
ae_oth_aeterm,adverse_events,,text,"Adverse Event other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[ae_aeterm] = 'OTHER'",y,,,,,
ae_aetoxgr,adverse_events,,radio,"Rash Grade","1, Grade 1: Localized erythema or rash with a limited distribution (e.g., up to several isolated sites on the body). | 2, Grade 2: Diffuse rash involving up to approximately 50% of the body surface area, with or without superficial skin peeling and/or pruritus. Mucosal inflammation without ulceration may be present. | 3, Grade 3: Rapidly progressing generalized skin rash reaction involving over 50% of the body surface area or skin rash reaction with any of the following: vesicles or bullae; superficial ulceration of mucous membranes (beyond IFN-related aphthous ulcers, stomatitis or lichen planus); epidermal detachment; atypical or typical target lesions; palpable purpura/non-blanching erythema. | 4, Grade 4: SJS/DRESS/TEN/potentially life threatening: Diagnosis of drug-related eosinophilia with systemic symptoms (DRESS), erythema multiforme (EM), or acute generalized exanthematous pustulosis (AGEP) or diagnosed as generalized bullous eruption, Stevens-Johnson Syndrome (SJS), or toxic epidermal necrolysis (TEN).","Indicate the highest grade of rash event at any point. ",,,,,"[ae_aeterm] = 'RASH'",y,,,,,
ae_aesev,adverse_events,,radio,"Rash Severity","MILD, Mild - Events that are present and do not require dose reduction of ANY HCV Med. Over the counter (OTC) medications may have been used. | MODERATE, Moderate - Events requiring prescription medication or ANY HCV Med dose reduction. | SEVERE, Severe - Events requiring ANY HCV Med discontinuation.","Indicate the greatest severity at any point of event. ",,,,,"[ae_aeterm] = 'RASH'",y,,,,,
trans_cmoccur,adverse_events,,radio,"Did the subject have a Blood Transfusion due to Anemia, Thrombocytopenia or Pancytopenia?","N, NO | Y, YES",,,,,,"[ae_aeterm] = 'ANAEMIA' OR [ae_aeterm] = 'THROMBOCYTOPAENIA' OR [ae_oth_aeterm] = 'Pancytopenia'",y,,,,,
trans_nxmesg,adverse_events,,descriptive,"<span class='yellow'>Enter this transfusion on the Transfusions page.</span>",,,,,,,"[trans_cmoccur] = 'Y'",,,,,,
ae_aecontrt,adverse_events,,radio,"ConMeds given to treat this Adverse Event?","N, NO | Y, YES","(Please update the ConMeds page as applicable)",,,,,"[ae_aeoccur] = 'Y'",y,,,,,
ae_suppae_aexacerb,adverse_events,,radio,"Exacerbation of previous condition?","N, NO | Y, YES",,,,,,"[ae_aeoccur] = 'Y'",y,,,,,
ae_aeser,adverse_events,,radio,"SAE (Serious Adverse Event)?","N, NO | Y, YES",,,,,,"[ae_aeoccur] = 'Y' ",y,,,,,
ae_aesdth,adverse_events,"Outcomes attributed to SAE",radio,Death,"N, NO | Y, YES",,,,,,"[ae_aeser] = 'Y'",y,,,,,
ae_aeslife,adverse_events,,radio,Life-threatening,"N, NO | Y, YES",,,,,,"[ae_aeser] = 'Y'",y,,,,,
ae_aeshosp,adverse_events,,radio,"Hospitalization - initial or prolonged","N, NO | Y, YES",,,,,,"[ae_aeser] = 'Y'",y,,,,,
ae_aesdisab,adverse_events,,radio,"Disability or Permanent Damage","N, NO | Y, YES",,,,,,"[ae_aeser] = 'Y'",y,,,,,
ae_aescong,adverse_events,,radio,"Congenital Anomaly or Birth Defect","N, NO | Y, YES",,,,,,"[ae_aeser] = 'Y'",y,,,,,
ae_aesmie,adverse_events,,radio,"Other Serious (Important Medical Events)","N, NO | Y, YES",,,,,,"[ae_aeser] = 'Y'",y,,,,,
ae_suppae_aesosp,adverse_events,,text,"Other Serious (Important Medical Events): Specify",,,,,,,"[ae_aesmie] = 'Y'",y,,,,,
ae_aerel,adverse_events,"HCV Treatment Regimen",radio,"Causal relationship to HCV regimen","NOT_RELATED, Not related | RELATED, Related",,,,,,"[ae_aeoccur] = 'Y' ",y,,,,,
ae_suppae_aeregmod,adverse_events,,radio,"HCV regimen modified or discontinued due to this Adverse Event?","N, NO | Y, YES",,,,,,"[ae_aeoccur] = 'Y' ",y,,,,,
ifn_suppae_ifnacnd,adverse_events,,radio,"Action taken with INTERFERON?<br /><b><u>(please record Interferon changes on Interferon Administration page)</u></b>","N, NO | Y, YES",,,,,,"[ae_aeoccur] = 'Y'  AND [ae_suppae_aeregmod] = 'Y'",y,,,,,
rbv_suppae_ribacnd,adverse_events,,radio,"Action taken with RIBAVIRIN?<br /><b><u>(please record Ribavirin changes on Ribavirin Administration page)</u></b>","N, NO | Y, YES",,,,,,"[ae_aeoccur] = 'Y'  AND [ae_suppae_aeregmod] = 'Y'",y,,,,,
daa_suppae_daaacnd,adverse_events,,radio,"Action taken with any DAA?<br /><b><u>(please record DAA changes on appropriate DAA Administration page)</u></b>","N, NO | Y, YES",,,,,,"[ae_aeoccur] = 'Y'  AND [ae_suppae_aeregmod] = 'Y'",y,,,,,
ae_aeout,adverse_events,Outcome,radio,"Outcome of Adverse Event","FATAL, Fatal | NOT_RECOVERED_NOT_RESOLVED, Not recovered/not resolved | RECOVERED_RESOLVED, Recovered/resolved | RECOVERED_RESOLVED_WITH_SEQUELAE, Recovered/resolved with sequelae | RECOVERING_RESOLVING, Recovering/resolving | UNKNOWN, Unknown",,,,,,"[ae_aeoccur] = 'Y' AND [ae_aeser] = 'Y'",y,,,,,
ae_aeendtc,adverse_events,,text,"Date of Resolution or Death",,"YYYY-MM-DD ",date_ymd,,,,"[ae_aeout] = 'RECOVERED_RESOLVED' OR [ae_aeout] = 'RECOVERED_RESOLVED_WITH_SEQUELAE' OR [ae_aeout] = 'FATAL'",y,,,,,
ae_aemodify,ae_coding,"Adverse event",text,"Modified reported term for AE: [ae_aeterm]/[ae_oth_aeterm]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
ae_aedecod,ae_coding,,text,"Dictionary derived term for AE: [ae_aeterm]/[ae_oth_aeterm]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
ae_aebodsys,ae_coding,,text,"Body system or organ class for AE: [ae_aeterm]/[ae_oth_aeterm]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
ae_suppae_aesevdrv,ae_coding,,radio,Severity,"MILD, Mild | MODERATE, Moderate | SEVERE, Severe",,,,,,,,,,,,
ae_aeacn,ae_coding,,radio,"Action taken for this Adverse event","DOSE_INCREASED, Dose increased | DOSE_REDUCED, Dose reduced | DRUG_INTERRUPTED, Drug interrupted | DRUG_WITHDRAWN, Drug withdrawn",,,,,,,,,,,,
cm_cmoccur,conmeds,,radio,"Did the subject take any concomitant medications during HCV treatment?","N, NO | Y, YES",,,,,,,y,,,,,
cm_suppcm_cmprtrt,conmeds,,radio,"Was this subject taking this medication at OR prior to baseline?","N, NO | Y, YES",,,,,,"[cm_cmoccur] = 'Y'",y,,,,,
cm_cmstdtc,conmeds,,text,"ConMed start date",,"YYYY-MM-DD ",date_ymd,,,,"[cm_cmoccur] = 'Y' and [cm_suppcm_cmprtrt] = 'N'",y,,,,,
cm_cmtrt,conmeds,,text,Medication,,"@AUTOCOMPLETE=SELECT DISTINCT drug_name FROM _whodrug_mp_us",,,,,"[cm_cmoccur] = 'Y'",y,,,,,
cm_cmindc,conmeds,,radio,Indication,"FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[cm_cmoccur] = 'Y'",y,,,,,
cm_oth_cmindc,conmeds,,text,"Indication other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[cm_cmindc] = 'OTHER'",y,,,,,
cm_suppcm_exacindc,conmeds,,radio,"Exacerbation of previous indication?","N, NO | Y, YES",,,,,,"[cm_cmoccur] = 'Y'",y,,,,,
cm_suppcm_prphindc,conmeds,,radio,"Prophylaxis for this indication?","N, NO | Y, YES",,,,,,"[cm_cmoccur] = 'Y'",y,,,,,
cm_cmdecod,cm_coding,ConMeds,text,"Dictionary derived term for ConMed Medication: [cm_cmtrt]",,"@AUTOCOMPLETE=SELECT DISTINCT drug_name FROM _whodrug_mp_us",,,,,,,,,,,
cm_suppcm_mktstat,cm_coding,,radio,"Marketing status for ConMed Medication: [cm_cmtrt]","OTC, OTC | PRESCRIPTION, Prescription | UNKNOWN, Unknown",,,,,,,,,,,,
cm_suppcm_cmimmuno,cm_coding,,radio,"Is [cm_cmdecod] an immunosuppressive agent?","N, NO | Y, YES",,,,,,,,,,,,
cm_suppcm_cmppi,cm_coding,,radio,"Is [cm_cmdecod] a Proton pump inhibitor?","N, NO | Y, YES",,,,,,,,,,,,
cm_suppcm_atcname,cm_coding,,text,"Level 1 ATC name for ConMed Medication: [cm_cmtrt]",,"@AUTOCOMPLETE=SELECT DISTINCT atc_name FROM _whodrug_atc WHERE atc_level = 1",,,,,,,,,,,
cm_suppcm_atc2name,cm_coding,,text,"Level 2 ATC name for ConMed Medication: [cm_cmtrt]",,"@AUTOCOMPLETE=SELECT DISTINCT atc_name FROM _whodrug_atc WHERE atc_level = 2",,,,,,,,,,,
cm_suppcm_indcmodf,cm_coding,,text,"Modified reported term for ConMed Indication: [cm_cmindc]/[cm_oth_cmindc]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
cm_suppcm_indcod,cm_coding,,text,"Dictionary derived term for ConMed Indication: [cm_cmindc]/[cm_oth_cmindc]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
cm_suppcm_indcsys,cm_coding,,text,"Body system or organ class for ConMed Indication: [cm_cmindc]/[cm_oth_cmindc]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
xfsn_cmdecod,cm_coding,Transfusions,text,"Dictionary derived term for transfused blood product: [xfsn_cmtrt]",,"@AUTOCOMPLETE=SELECT DISTINCT drug_name FROM _whodrug_mp_us",,,,,,,,,,,
xfsn_suppcm_atcname,cm_coding,,text,"Level 1 ATC name for transfused blood product: [xfsn_cmtrt]",,"@AUTOCOMPLETE=SELECT DISTINCT atc_name FROM _whodrug_atc WHERE atc_level = 1",,,,,,,,,,,
xfsn_suppcm_atc2name,cm_coding,,text,"Level 2 ATC name for transfused blood product: [xfsn_cmtrt]",,"@AUTOCOMPLETE=SELECT DISTINCT atc_name FROM _whodrug_atc WHERE atc_level = 2",,,,,,,,,,,
xfsn_suppcm_indcod,cm_coding,,text,"Dictionary derived term for Transfusion indication: [xfsn_cmindc]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
xfsn_suppcm_indcsys,cm_coding,,text,"Body system or organ class for Transfusion indication: [xfsn_cmindc]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
imm_suppnx_immunmsg,immunosuppression_dosages,,descriptive,"Immunosuppression ConMed: [cm_cmtrt]",,,,,,,"[cm_suppcm_cmimmuno] = 'Y'",,,,,,
imm_suppnx_noimmmsg,immunosuppression_dosages,,descriptive,"<span class='yellow'>This form is only completed when ConMed ([cm_cmtrt]) is an immunosuppressant</span>",,,,,,,"[cm_suppcm_cmimmuno] != 'Y'",,,,,,
imminit_cmdosrgm,immunosuppression_dosages,"Regimen at TX start",radio,"[cm_cmtrt] Initial dose regimen","FIXED, Fixed | ALTERNATING, Alternating",,,,,,"[cm_suppcm_cmimmuno] = 'Y'",y,,,,,
imminit_cmdose,immunosuppression_dosages,,text,"Initial dose",,,,,,,"[imminit_cmdosrgm] != '' AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
imminit_cmdosu,immunosuppression_dosages,,text,"Initial dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[imminit_cmdosrgm] != '' AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
imminit_cmdosfrq,immunosuppression_dosages,,radio,"Initial dose frequency","QD, 1x / day | BID, 2x / day | QOD, Every other day | Q3D, Every 3 days | QS, 1x / wk | BIS, 2x / wk | TIS, 3x / wk | QIS, 4x / wk",,,,,,"[imminit_cmdosrgm] != '' AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
imminitalt_cmdose,immunosuppression_dosages,,text,"Initial alternating dose",,,,,,,"[imminit_cmdosrgm] = 'ALTERNATING'  AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
imminitalt_cmdosu,immunosuppression_dosages,,text,"Initial alternating dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[imminit_cmdosrgm] = 'ALTERNATING'  AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
imminitalt_cmdosfrq,immunosuppression_dosages,,radio,"Initial alternating dose frequency","QD, 1x / day | BID, 2x / day | QOD, Every other day | Q3D, Every 3 days | QS, 1x / wk | BIS, 2x / wk | TIS, 3x / wk | QIS, 4x / wk",,,,,,"[imminit_cmdosrgm] = 'ALTERNATING'  AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinl_cmdosrgm,immunosuppression_dosages,"Regimen at TX end",radio,"[cm_cmtrt] Final dose regimen","FIXED, Fixed | ALTERNATING, Alternating",,,,,,"[cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinl_cmdose,immunosuppression_dosages,,text,"Final dose",,,,,,,"[immfinl_cmdosrgm] != '' AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinl_cmdosu,immunosuppression_dosages,,text,"Final dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[immfinl_cmdosrgm] != '' AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinl_cmdosfrq,immunosuppression_dosages,,radio,"Final dose frequency","QD, 1x / day | BID, 2x / day | QOD, Every other day | Q3D, Every 3 days | QS, 1x / wk | BIS, 2x / wk | TIS, 3x / wk | QIS, 4x / wk",,,,,,"[immfinl_cmdosrgm] != '' AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinlalt_cmdose,immunosuppression_dosages,,text,"Final alternating dose",,,,,,,"[immfinl_cmdosrgm] = 'ALTERNATING'  AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinlalt_cmdosu,immunosuppression_dosages,,text,"Final alternating dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[immfinl_cmdosrgm] = 'ALTERNATING'  AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
immfinlalt_cmdosfrq,immunosuppression_dosages,,radio,"Final alternating dose frequency","QD, 1x / day | BID, 2x / day | QOD, Every other day | Q3D, Every 3 days | QS, 1x / wk | BIS, 2x / wk | TIS, 3x / wk | QIS, 4x / wk",,,,,,"[immfinl_cmdosrgm] = 'ALTERNATING'  AND [cm_suppcm_cmimmuno] = 'Y'",y,,,,,
ppi_suppnx_noppimsg,ppi_dosages,,descriptive,"<span class='yellow'>This form is only completed when subject is taking Harvoni and ConMed ([cm_cmtrt]) is a Proton pump inhibitor</span>",,,,,,,"[cm_suppcm_cmppi] != 'Y' OR [1_arm_1][hvn_exstdtc] = ''",,,,,,
ppi_suppcm_ppioccur,ppi_dosages,,radio,"Is dosing available for PPI ConMed [cm_cmtrt]?","N, NO | Y, YES",,,,,,"[cm_suppcm_cmppi] = 'Y' AND [1_arm_1][hvn_exstdtc] != ''",y,,,,,
ppi_suppnx_ppimsg,ppi_dosages,,descriptive,"PPI ConMed: [cm_cmtrt]",,,,,,,"[ppi_suppcm_ppioccur] = 'Y'",,,,,,
ppiinit_cmdose,ppi_dosages,,text,"Initial dose",,,,,,,"[ppi_suppcm_ppioccur] = 'Y'",y,,,,,
ppiinit_cmdosu,ppi_dosages,,text,"Initial dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[ppi_suppcm_ppioccur] = 'Y'",y,,,,,
ppiinit_cmdosfrq,ppi_dosages,,radio,"Initial dose frequency","QD, 1x / day | BID, 2x / day | QOD, Every other day | Q3D, Every 3 days | Q10D, Every 10 days | QS, 1x / wk | BIS, 2x / wk | TIS, 3x / wk | QIS, 4x / wk",,,,,,"[ppi_suppcm_ppioccur] = 'Y'",y,,,,,
ppifinl_cmdose,ppi_dosages,,text,"Final dose",,,,,,,"[ppi_suppcm_ppioccur] = 'Y'",y,,,,,
ppifinl_cmdosu,ppi_dosages,,text,"Final dose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _dose_units_view",,,,,"[ppi_suppcm_ppioccur] = 'Y'",y,,,,,
ppifinl_cmdosfrq,ppi_dosages,,radio,"Final dose frequency","QD, 1x / day | BID, 2x / day | QOD, Every other day | Q3D, Every 3 days | Q10D, Every 10 days | QS, 1x / wk | BIS, 2x / wk | TIS, 3x / wk | QIS, 4x / wk",,,,,,"[ppi_suppcm_ppioccur] = 'Y'",y,,,,,
ppi_suppcm_cmpreot,ppi_dosages,,radio,"Did this subject stop taking [cm_cmtrt] prior to EOT?","N, NO | Y, YES",,,,,,"[cm_suppcm_cmppi] = 'Y'",y,,,,,
ppi_cmendtc,ppi_dosages,,text,"ConMed stop date",,"YYYY-MM-DD ",date_ymd,,,,"[ppi_suppcm_cmpreot] = 'Y' AND [ppi_suppcm_noendtc] != 'Y'",y,,,,,
ppi_suppcm_noendtc,ppi_dosages,,radio,"Is ConMed stop date unknown?","N, NO | Y, YES",,,,,,"[ppi_suppcm_cmpreot] = 'Y' AND [cm_suppcm_cmppi] = 'Y' AND [ppi_cmendtc] = ''",y,,,,,
